"visitType","trapFunctioning","fishProcessed","rpmRevolutionsAtStart","rpmRevolutionsAtEnd","counterAtEnd","visitTime","siteName","subSiteName","trapVisitID","includeCatch","projectDescriptionID","discharge","waterVel","waterTemp","turbidity"
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-04-28 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",4,4,NA,2003-04-28 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-04-29 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",5,5,NA,2003-04-29 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-04-30 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",4.2,4.2,NA,2003-04-30 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-05-01 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.5,3.5,NA,2003-05-01 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-05-02 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",4.1,4.1,NA,2003-05-02 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-05-03 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",4.5,4.5,NA,2003-05-03 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-05-04 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",5.5,5.5,NA,2003-05-04 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-05-05 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",4.5,4.5,NA,2003-05-05 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-05-06 09:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",5,5,NA,2003-05-06 09:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-05-07 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",4,4,NA,2003-05-07 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",4,4,NA,2003-05-08 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-05-09 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",4,4,NA,2003-05-09 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-05-10 08:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.4,3.4,NA,2003-05-10 08:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-05-11 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",4,4,NA,2003-05-11 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-05-12 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",4.1,4.1,NA,2003-05-12 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-05-13 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",4,4,NA,2003-05-13 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-05-14 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.4,3.4,NA,2003-05-14 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.5,3.5,NA,2003-05-15 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.5,3.5,NA,2003-05-16 08:20:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-05-16 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-05-17 08:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2.8,2.8,NA,2003-05-17 08:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-05-18 08:10:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3,3,NA,2003-05-18 08:10:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-05-19 08:45:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.3,3.3,NA,2003-05-19 09:45:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-05-20 08:20:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.2,3.2,NA,2003-05-20 08:20:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-05-21 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.5,3.5,NA,2003-05-21 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-05-22 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.6,3.6,NA,2003-05-22 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.8,3.8,NA,2003-05-23 08:22:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-05-23 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-05-24 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.2,3.2,NA,2003-05-24 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-05-25 08:10:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.3,3.3,NA,2003-05-25 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-05-26 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.5,3.5,NA,2003-05-26 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-05-27 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.1,3.1,NA,2003-05-27 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-05-28 09:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3,3,NA,2003-05-28 09:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-05-29 08:45:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",4.1,4.1,NA,2003-05-29 08:45:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2.8,2.8,NA,2003-05-30 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2.1,2.1,NA,2003-10-08 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2.2,2.2,NA,2003-10-10 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.3,1.3,NA,2003-11-07 09:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.15,1.15,NA,2003-11-08 08:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.3,1.3,NA,2003-11-17 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.9,1.9,NA,2003-11-19 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.75,1.75,NA,2003-11-23 09:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-11-24 09:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.9,1.9,NA,2003-11-24 09:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.5,1.5,NA,2003-11-27 09:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.5,1.5,NA,2003-12-02 09:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-12-02 09:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-12-03 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.8,1.8,NA,2003-12-03 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-12-04 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.5,1.5,NA,2003-12-04 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-12-05 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.7,1.7,NA,2003-12-05 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-12-06 08:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2.4,2.4,NA,2003-12-06 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",0,NA,NA,2003-12-08 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2.4,2.4,NA,2003-12-09 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-12-09 09:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-12-10 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.8,1.8,NA,2003-12-10 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-12-11 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2,2,NA,2003-12-11 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-12-12 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2,2,NA,2003-12-12 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2.4,2.4,NA,2003-12-13 08:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-12-13 08:15:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",0,1681,NA,2003-12-14 09:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-12-15 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2.2,2.2,NA,2003-12-15 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-12-16 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.8,1.8,NA,2003-12-16 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-12-17 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",0,1.9,NA,2003-12-17 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-12-18 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2.5,2.5,NA,2003-12-18 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-12-19 09:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.5,1.5,NA,2003-12-19 11:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-12-20 08:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2.2,2.2,NA,2003-12-20 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-12-21 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2.1,2.1,NA,2003-12-21 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2,2,NA,2003-12-22 09:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-12-22 09:40:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.7,1.7,NA,2003-12-23 08:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-12-23 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",0,2.5,NA,2003-12-24 08:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-12-27 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2,2,NA,2003-12-27 09:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-12-28 08:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",108,108,NA,2003-12-28 08:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-12-29 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.8,1.8,NA,2003-12-29 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2003-12-31 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.6,1.6,NA,2003-12-31 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2004-01-01 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.4,3.4,NA,2004-01-01 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2004-01-03 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.9,1.9,NA,2004-01-03 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2004-01-04 09:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.8,1.8,NA,2004-01-04 10:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2004-01-05 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.6,1.6,NA,2004-01-05 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2004-01-06 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.6,1.6,NA,2004-01-06 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2004-01-07 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.9,1.9,NA,2004-01-07 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2.2,2.2,NA,2004-01-08 08:45:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2004-01-08 10:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2004-01-09 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.9,1.9,NA,2004-01-09 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2004-01-10 08:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2.1,2.1,NA,2004-01-10 08:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2004-01-11 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2.2,2.2,NA,2004-01-11 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2004-01-12 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2,2,NA,2004-01-12 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.9,1.9,NA,2004-01-13 08:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2004-01-13 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.8,1.8,NA,2004-01-14 08:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2004-01-14 09:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2.1,2.1,NA,2004-01-15 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2004-01-15 08:40:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",4.8,4.8,NA,2004-01-15 08:30:00,"parrot-phelan","pp rst 2",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2004-01-16 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.7,1.7,NA,2004-01-16 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",5,5,NA,2004-01-16 08:30:00,"parrot-phelan","pp rst 2",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2004-01-17 09:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2.2,2.2,NA,2004-01-17 09:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",4.5,4.5,NA,2004-01-17 09:00:00,"parrot-phelan","pp rst 2",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2004-01-18 08:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2,2,NA,2004-01-18 08:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",4.75,4.75,NA,2004-01-18 08:00:00,"parrot-phelan","pp rst 2",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2004-01-19 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.8,1.8,NA,2004-01-19 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",4,NA,NA,2004-01-19 08:30:00,"parrot-phelan","pp rst 2",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2004-01-20 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.7,1.7,NA,2004-01-20 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.8,NA,NA,2004-01-20 08:30:00,"parrot-phelan","pp rst 2",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2004-01-21 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2,2,NA,2004-01-21 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",4.5,4.5,NA,2004-01-21 08:30:00,"parrot-phelan","pp rst 2",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2,2,NA,2004-01-22 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"not recorded","not recorded","not recorded",NA,NA,NA,2004-01-22 07:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2.9,NA,NA,2004-01-22 07:30:00,"parrot-phelan","pp rst 2",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2004-01-23 07:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.75,1.75,NA,2004-01-23 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.75,NA,NA,2004-01-23 08:30:00,"parrot-phelan","pp rst 2",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2004-01-24 08:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.7,1.7,NA,2004-01-24 08:15:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3,3,NA,2004-01-24 08:15:00,"parrot-phelan","pp rst 2",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,2004-01-25 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.4,1.4,NA,2004-01-25 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
